comment,label_1,label_2,label_3
打boss挺开心，尤其是有练习模式，让玩家有足够时间来学习boss出招。但是装备系统就有点难受了，全随机掉落意味着套装基本上是不可能成型的。。。明明套装效果那么好。。。还有如果能有手甲这种空手型角色就好了，我超爱空手揍人的,优点或启发,缺点或问题,
总的来说游戏类型类似失落城堡（垂直视角得适应适应），关卡大地图形状随机，物品掉落随机虽然有六个角色，但是最最最大的差别只是武器（而且武器可以在铁匠那换）不同，血量不同你的攻击动作是和人形敌人是一致的（差不多就是个强一点的兵），这导致游戏很难比失落城堡难很多游戏里有成套的装备，但是在物品随机出的情况下很难收集一套，我把一个角色的天赋点完了，也没有集成过一套能不能通过试炼，要不是有技术要不看运气，至于角色天赋和技能都是鸡肋，另外武器也是极不平衡，枪类武器很弱（至少我自己的体验是这样）本游戏还不是正式版，内容都可以优化，支持一下。（另外，妹子画的这么好看，真不打算出污污的内容吗？）,缺点或问题,,
非常有趣的游戏 不过感觉当前内容还是有点少 期待后续更新~,优点或启发,缺点或问题,
游戏性，人设都比较优秀，国内需要有这样精英作品，,优点或启发,,
真的香疯了，这是我近半年玩过最棒的国产roguelike！,无帮助,,
很喜欢很有深度的游戏，技能和攻击能衔接起来更好,优点或启发,,
玩了十个小时之后决定在自由模式呆着了,无帮助,,
战斗好评，人物好评,优点或启发,,
刚了88个小时，耗时半个月才一周目，然后到现在105个小时了快，二周目还没过，首先全靠这个春节的疫情，不然我真的不会坚持下来，游戏是可以，很有新意，俯视角第一次有点不习惯，玩上手了还能接受，游戏真的硬核，不推荐手残党入手，我这种玩了好久动作游戏的有时候也想把手柄摔了！首先运气真的很重要，这个游戏无法存档，死了以后只能从第一关开始，装备背包什么的自然也是清空的，随机地图好评，随机boss看脸了，至于商店和武器商人真的是运气好了才能刷到好东西或者装备，推荐速攻类武器+大锤，最后两关感觉没有大锤根本刚不过杂兵，但是boss战，锤系列武器又速度太慢！大部分时间你都是给速度快的boss按在地上摩擦！其次这游戏上手真的不容易，感觉六个角色除了初始武器和技能不同，其他没有任何区别！那个带盾牌的，我到现在也没搞清楚，到底什么情况下盾牌才能自动格挡，是凑角度呢还是看概率呢？你游戏里面有个简单介绍也好啊！最后，既然这么硬核的游戏，你背包也有那么大。为什么就每次只能带一个血包一个药包，就算我爆了一地的血包每次boss战我就只能带一个，有毛用啊！真的累了，我想最多试试新出来的测试分支我就不会坚持下去了，如果纯粹是靠不停的刷刷刷来拖长游戏时间的话，我为什么不去刚一个至少爽快一点的游戏呢。至少成就感要大于挫折感才是吧！当然啦，国产游戏，这么小容量，这么多亮点的还是要支持一下的，好评吧，我累了，下次哪天想受虐了再回来吧，三个作者辛苦了！,优点或启发,,
打到第四关，看好多差评。我已我的理解来说下。首先闪避的判定，不是刚按了就是无敌，是闪避快完成到完成的那瞬间判定的。所以有个提前量，把握好就行。当你把握好了，就不用打BOSS时候打一下跑一下了。只要有气，他攻击我就闪避，一直绕背打。第二关骑马的就是这样，一直转圈圈就死了。怎么0伤，唯熟悉，熟练尔。好多差评的就是人家是借鉴了以撒，那是你只玩过以撒。这个游戏借鉴的多了。我能看出来的特别明显的就有以撒，伏龙记，死亡细胞。其他的玩的时间少，暂时没发现。游戏还真的不错，战斗真的砍不起菜（也可能是我太菜）。游戏开始第一关给3个复活，后面都有2个复活是真的很友善了。双武器可以切换也很照顾玩家情绪了。刚开荒打这种游戏还真要带着脑子打。怪物的进攻方式摸清就可以做到无伤。解锁的武器，道具还很少，可以玩很长时间了。37块钱，对比游戏质量真的很不错了。推荐入手。,建议,,
煞笔玩意儿，辣么多东西负面效果恶心的一笔的，打个boss人家还会爆气减伤，玩以撒好歹还有快感，你学特么人家的能考虑一下自身和他的区别，搞的跟尼玛回合制一样。,缺点或问题,,
游戏可玩性很高，希望快点更新,建议,,
垃圾游戏，不是说难度问题，而是恶心人的地图，攻击判定，闪避判定，纯拖长游戏时间的各种设定太多了,缺点或问题,,
越玩约有刀剑封魔录的感觉，我的童年回来了,优点或启发,,
细节打磨的很不错，足见制作组的用心，期待后续更新,优点或启发,,
给个好评吧，这游戏是真的不错，今天玩了玩undermine才知道斩妖还是不怎么肝的,无帮助,,
好玩啦，慢慢摸索，有点耐心，不要怕重头来~,无帮助,,
很成熟的地牢类游戏，期待出更多DLC,无帮助,,
打通了2次 好想第一次没有通关最后一关BOSS一定是巨锤修罗。过了 第2次是狐妖。第3次差点过。没有仙草套真的不好打。通关 实力不行 只能依赖运气。每关给的魂太少了。太肝了。。崩溃。偶尔还有BUG 有一次 第2关到第3关 所有的过图的箱子 20多张图 一把钥匙都没有给我。我真是服气。后来又开一把 第一关 所有过图一把钥匙不给。第2关 清图也是一把钥匙都没有 什么鬼BUG。,bug,,
还可以,无帮助,,
2d顶视角版的黑魂，超级好玩！每个小姐姐都制作的很有特色，希望文案能更丰富一些以及早日推出mod功能哈哈哈哈,建议,优点或启发,
可玩性很高，双刀才是正义,无帮助,,
目前游戏内容不算多，刷了一周就基本全刷完了。刚开始玩的时候真的很过瘾啊，玩了一把又想开一把。刚开始的时候那些boss感觉真的难对付，小怪也很麻烦，玩都后期熟练之后其实都蛮好打的。对于87小时的玩家现在来说简直易如反掌，和初期反差蛮大。期待更多的后续游戏内容补充，也是建议大家买入的。这是我第一个在steam买的roguelike游戏，支持国产！,优点或启发,,
游戏还是挺好玩的，想说的就两点。第一，这游戏每次死了从头开始有点烦；第二，这刹气系统感觉有点肝了。顺带，有没有人把第二关将军名字看成那位将军，我纳闷了半天这人的名字是有啥不能说的吗，后来仔细一看才发现是那拉将军233前几关搞出财神，肥的流油，最后一关之前过的都挺轻松，结果最后一关一个小房间，一条很长的小道，当中好几个nt阵法和母婴联合双打，我打你妈？我拿着居合刀都勉强够到，砍完还要立刻闪避躲阵法，莫名其妙就死了两条命重头来过？总结下，对新手来说运气比较重要，出的道具和宝物好难度直线下降，游戏还不够完善，锁定系统我就没用过，为什么锁定键不是按一下立刻锁定而是要长按，实战里这一秒钟时间太重要了，尤其是人多的时候，有些小关卡设计的莫名其妙，比如水关，走路慢如狗，对面一堆突进。有个挑战关里面一个血厚的大锤，房间设计的把角色往当中吸还跑不出来，等于要你硬钢，要不是装备好就被大锤打死了。最后一关也是，那个小道和阵法真的让人恶心，完全就是在恶心玩家。,缺点或问题,,
前几天买的，今天上手玩了一下，个人感觉还可以，没有想象的那么难（希望以后出更多角色和武器）,建议,,
难度梯度有不少问题，那拉将军之流明显比灰仙育母蜘蛛何地藏树姿娘大太岁堕佛像这类fiveboss强太多了，居然只放在第二关。套装委实有些鸡肋，至少玩到目前没有感觉出任何引导机制，如果身上有散件，出相关套装的几率应该略微提升，这样的机制能帮助玩家更容易将想玩的套路成形，更好地刺激玩家肝的欲望不是吗？或者改成2件4件6件都能触发套装效果也行呀，当前的4件才能触发和不存在没有什么区别。还有就是游戏初期的双刃剑道具也太多了吧？正面效果收益没有多高，负面效果却很要命，我还是认为游戏初期多一些纯正面效果便于玩家开荒，双刃剑道具交给玩家自主选择是否去解锁，同时提高一点双刃剑道具的正面效果，这样更加合理吧。最后就是长枪的攻击判定真的一言难尽，只有枪头能戳到人，那么要是把枪头去了就是一根无法造成伤害的木棍咯？,建议,缺点或问题,
这个游戏....我只能说不难，但玩起来太累了，容错率低，死了就从头再打真是够了,缺点或问题,,
好玩 好棒 开心 没玩够 期待新内容  希望出设定集电子版也好 想收藏一份,建议,,
不愧是只有3个人想出来的系统   多找点人讨论吧,无帮助,,
希望有个修改器 我只希望能回满血就行,建议,,
前期比较困难，有积累过后会变得简单起来；通过一次关后，再玩就很简单了，至少对我来说是这样的；希望新模式和MOD早日上线,建议,优点或启发,
非常不错的肉鸽游戏，国产必须买买买，爽快感有待加强，紧张感可是爆表了，,建议,,
玩多了，就好打了,无帮助,,
之前玩的还不错 现在一堆bug,无帮助,,
总体不错，以下是个人认为待改进的地方：1.人物成长太有限，人物属性是最让我有肝的欲望的东西。当然这类游戏的人物成长不应该太过，但感觉实在是太少了，而且有些成长基本没用（比如无界的杀敌后3秒增伤，增伤不高就算了，才3秒？，一般等我杀完一个敌人后冲到另一个敌人脸上就已经过了2秒了）。适当增加人物成长的上限可以有效提高玩家的游戏时间。2.战斗有黑魂内味，但是一些敌人实在过于恶意（比如第五章的石像，出招快带霸体伤害高回报低），个人为人只要是一般人反应不过来的招式都是不合理的（白仙的平砍我觉得除了提前预判距离躲开，没有人能凭借反应躲开）。如果要模仿魂的战斗，这些出手极快的招式都应该改掉，或者降低伤害和削韧。3.通关一次后二周目的最终BOSS固定而且难度大，建议每周目的最终BOSS都改成随机，要不然一些玩家会卡很久（比如我）4.老板那不能取出想要的数目的钱，如果是有意这样设计的就可以无视这条。反正我感觉有些影响游戏体验。,建议,,
不要问 问就是女性角色多,优点或启发,,
没意思,无帮助,,
顶视角黑魂，刚开始在第二关boss卡了好久，但是打过去之后是真的爽。,无帮助,,
44小时通关，但是并不想推荐给朋友玩。首先剧情，立绘是没得黑的。但是操作手感是真的屎，尤其是夜幕诅咒的时候，逼得人不得不用键鼠操作，习惯只用键盘的突然用键鼠不知道是多恶心....当然强行用键盘也没问题，那就等着被自动锁定坑吧。其次是平衡性，是真的差，一个挑战房有时候打掉自己一大半的血然后给出一个什么狂暴卷轴？？这是个什么屌东西？打BOSS 有用？本来打BOSS就靠节奏感这东西是干嘛的？建议删除！！挑战房的奖励性是真的与付出不成正比！！还有就是半路遇到的同伴。。。怎么挑战房的这么牛批，自己队的就像个憨憨一样？？人物硬直就不说了，BOSS 战容错率太低，打完只觉得累成就感说实话没多少。有时候打完BOSS心里第一感觉是卧槽总算过去了而不是卧槽我特么真牛批。。。。游戏整体还不错，但是问题也很多，还有待改进。,建议,缺点或问题,
是一款少有且不错的砍杀rogue，嗯，砍杀，一般的rogue都是弹幕和射击偏多，是比较不同的游戏体验，个人认为比较好玩希望后续可以加入竞技场或者无限模式 毕竟对于砍杀来说 快节奏更契合砍杀的氛围和快感 如果一定要像以撒那样分一个个小房间 每个个位数的敌人和过少的关卡 就不能一直无双下去了啊 会减慢节奏并减少重玩价值 而且既然是俯瞰而不是横板 那么加入格挡系统会不会更自然 毕竟一直翻滚躲闪挺让人生气的 如果能有格挡 挡反 组合技之类的会不会好一些希望国产游戏有自己的特色然后越来越好玩,建议,,
希望能够越做越好,无帮助,,
玩起来还不错，确实比较难呀。希望你们越来越好，看好你们,无帮助,,
游戏不错,无帮助,,
很不错的国产地牢风格游戏希望工作室加油更新！,无帮助,,
什么辣鸡游戏难死了,缺点或问题,,
游戏非常不错  值得买来玩玩！,无帮助,,
22小时第一次通关！   真好玩撒花,无帮助,,
目前来看游戏内容太少，而且肝的让人很不爽。一个满技能角色的游戏难度和游戏体验太好，过多的人物属性要靠肝解锁。隔壁的hades和dead cells在这方面要比斩妖做得好太多。游戏内容过少，关卡固定，怪物没有强化属性，唯一比较多样化的就是boss。所以玩家要为了解锁技能提升属性重复重复再重复的刷基本毫无变化的关卡来解锁技能，而这个过程要重复6次，如果开新人物你还得重复第七次。人物技能满级后就能轻松花式过关，毫无挑战……希望游戏后期解锁内容可以调整下，多个人物不用分开解锁，可以统一解锁……或者将解锁内容改为新的装备，新的挑战内容等等，比如出门自带血量上限变为1后加100攻道具，这个装备你在店里看到基本不会拿，换成初始则完全是两种玩法。而不是单纯的，加了30点血量，加了30点蓝，加了30点气力什么的。玩家可以通过游戏过程解锁新的游戏模式，有选择的去创建一套套build，出门带半套魔力套，然后血量减半，怪物附加霸体等等。现在的build是完全随机的，套装强度差距大，但是基本都能碾压现有难度。让人玩起来略有点无趣,建议,缺点或问题,
首先接触这款游戏是在WG上玩的体验版，加了qq群后发现游戏策划人员都十分亲切，经常会与群友一起交流。这款游戏是比较考验技术的，如果你是个新手你肯定会感觉自己太菜了，但是你去细细品它，你会发现在游戏中自己反复练习boss后发现打法的快乐。游戏整体画风不错，故事也很有吸引力，到后面还会出故事集，喜欢肝的朋友们可以考虑入手一下。,优点或启发,,
好玩是好玩，我就想问一句这个巨锤罗刹是傻逼么？攻击范围那么大，攻击切换又快，血又厚。特么的打了33小时了都没过,缺点或问题,,
一定要玩测试版，一定要玩测试版，一定要玩测试版！测试版的进入方式：库——在游戏上右键——选择测试选项卡——调整为test-boss的动作合理多了，难度合理多了！改为好评。,建议,,
一直没写过评论，也不知道咋写，如果有问题，希望大家见谅，总体的游戏还是让人产生兴趣的，也值得玩一下，这里需要喜欢小姐姐和喜欢地牢探险类游戏的人，因为这可能是你坚持肝玩的动力。。。。有意思的事情只有自己每个人玩过才能有自己的感觉，所以今天想来说一下个人感觉有点问题的地方。。。今天也在评论区里看到好多人觉得游戏boss难度太大，的确，有几个boss的设计实在是太强了，我主玩双刀，那些受击反抗一瞬间就发出来了，基本上3次能躲掉2次就很好了，基本上打一刀就回退，最后只能通过异常状态和飞镖耗死boss，刚刚二刷完成，打妖狐boss，昨天练了一小时不到，单个boss练手，真的很让人崩溃，后来觉得这是boss对职业的克制，应该说是武器的克制，于是我就在前几关提前换了毒刺，但是这对于新手来说是真的很不友好，打一遍将近花1个小时，还除去最后一关boss，然后又不太可能一次过，于是在一次又一次的重复中，很有可能很多玩家会感觉到厌烦，所以虽然boss难度是游戏的一大特点，但是在她技能的出招顺序上希望有 改进，特别是柳仙，同是拿双刀，她的攻击怎么会没有僵直，不带个宠物去吸引仇恨，根本就是被她和她宠物按在地上锤。其次是这游戏是真的肝，一开始游戏啥都没，钱又少，石头又少，英雄又弱，真的只能在前3，4关一直刷，而且东西掉落可能打几局才遇到一两个残卷，内容也有待拓展，，，希望在一些物件下注明怎样获得会更方便新手摸索，不然会可能会有点盲目然后本来我一开始有一部分是看到小姐姐和玩法才玩的，但是虽然每个角色都有不同，但是像那些蓄力技就有些鸡肋了，打小怪平A可能有时更有用，打boss时，boss不会给你时间蓄力的，对刀永远是我方输。。。。。然后就是武器的一些问题，虽然有很多武器，但是有很多武器其实就是改了个外貌，然后加了一些异常状态，没有实质上的改变和玩法上的区别，希望可以有所改进。。。。我很是期待以上只是目前来说得出的一些个人观点，因为只将双刀练全，其他小姐姐碰了一会，目前的拓展玩法也还差两个，残卷也还有一大堆没有。。。。。有点累。。。还有公告里不是有新年是更新了嘛，为啥我游戏么得变化，地图还是6张，小姐姐还是那几个，难道要三刷？最后，希望国产游戏越做越好，加油,建议,缺点或问题,
心态爆炸,无帮助,,
天赋，商店道具位，商店刷新，隐藏，挑战等玩法要素都需要刷点数才能解锁，然后因为这些东西没解锁导致角色初期非常弱鸡，每关都要磨叽半天，然后打完一整关要啥没啥，点数多不多还看脸，蠢得要死,缺点或问题,,
每次玩一会儿就游戏卡死，只有声音，图像不动，怎么回事啊？,bug,,
很不错挺好玩,无帮助,,
BOSS战的难度太不合理了，最典型的第三关丛林何地藏（应该是这个名字），近战有盾牌盾反击退能种禁锢的种子，远程超远的追踪吸血攻击和超高的攻击欲望，真的有测试过吗，我换了各种武器都不知道怎么打。还有第四关的小青也是，攻击欲望极强，一近身能把你砍的生活不能自理，还带毒，能射飞镖。制作组真的要好好调整一下boss难度，暂时不推荐。,缺点或问题,,
一款三消游戏对养成方面毫无走心，却只单纯以挑战游戏难度为主旨，你若觉得大家喜欢记你那些毫无意义的支线剧情来获得道具为目的而通关，那请你继续更新就对了，我还不如玩手机消消乐。（PS：实在是没法给个鉴赏，只能先给其他入手的人提个醒，就单从现在的内容体验来看，你也配40块？？？别说普通三消都好玩些，就算是闲着没事干打通你那‘呵呵’难度，请问乐趣在哪？就这样浪费时间在一回合动一个子和打怪走运气的程度，你也配开发三消？你也配讲这是策略？）,缺点或问题,,
1、画风可爱，剧情有趣2、BGM和连击音效有待升级3、玩法属于Roglike类三消RPG4、种族职业还挺有趣的，建议可以再扩展些其他职业5、这款游戏较适合手机上玩,建议,优点或启发,
套路工作室的游戏一直都是良心之作，基本每款都玩，之前看到这个游戏要出的公告欣喜若狂，第一时间入手。游戏除了分辨率差点之外，其他各方面都很优秀的，尤其我对三消游戏毫无抵抗力，剧情也挺多，每次选择不同分支都有不同走向，关键才35块钱，一顿饭钱，可以说是相当良心了。,优点或启发,,
这游戏用三个字形容就是小而美，可爱的画风却包含着丰富有趣的剧情，玩梗玩到飞起，三消玩法也是挺有心意，消除的时候还要考虑上方敌人的站位，顺带那个炮兵的攻击力认真的么？开场被毙命的感觉还真是口吐芬芳。希望今天能通关呵呵吧，目前玩了几个小时还没搞定。,优点或启发,,
上班偷偷玩了一下午，发现结合了2种我最喜欢的玩法，Roguelike+三消，线行模式有点像手游的《月圆之夜》，但是选择更多，变化更多，还有非常有梗的剧情，三消方面带上了攻击效果，根据你消除位置来进行攻击对应位置怪物的设定，需要点脑子，好玩好玩，给中国游戏点个赞，期待出手游。,优点或启发,,
套鹿出品，必属精品，好玩，推荐，妙奇星球也快出啊,无帮助,,
给文案策划加鸡腿好吧！原本以为我买了个三消游戏，结果这剧情根本停不下来！！在酒馆听路人讲故事，面临釜山行的主角选择，到底是什么样的文案策划能写出来这种剧情！肯定是个有故事人！,优点或启发,,
这游戏真的太可爱了，每次看到里面奇形怪状但又可爱的npc，总是忍不住想调戏一番，咦？我这评论画风不太对，我可是个铮铮猛男！！游戏可玩性还不错，玩其他游戏玩累了可以来这里放松一下，不是无脑消除，每一步都需要走的谨慎，不然就很有可能被看似“可爱”的BOSS暴虐。游戏分三个难度模式，简单几乎是无脑消除就能过，算是为了给玩家上手，普通开始挑战就来了，需要开始动脑才能通关了，呵呵难度不找个攻略怕是过起来不知道要多久，反正我至今是过去。。顺带求个攻略！大佬带带我！,优点或启发,,
文案很棒，玩法新颖，分辨率都不能调实属拉跨，明显能看出是本来为手游发布的游戏，很多操作细节都是手游，比如查看属性不是右键而是长按。剧情分割感太强烈，且各条路线之间关联不是太大，很多让人会心一笑的neta。画风还行，但是和文案严重不符，文案帅的一批游戏里一张卡通萌系就很离谱。总的来说，瑕不掩瑜，值得鼓励，希望能优化成一个完整的pc端游戏，而不是给人一种模拟器的感觉。,建议,优点或启发,缺点或问题
创新的三消rpg游戏，还是让我眼前一亮的，整体品质还是不错的，剧情有梗，玩法抗打，期待正式版的内容。有一些体验上的小问题我看好多人也说了，就不重复述了，好了，我要继续去玩了！,优点或启发,,
为妙连千军献出第一次评测！游戏还是挺好玩的，画风很对我胃口，老夫妇俩装死那里给我逗笑了2333。建议加个Back或者History，有时候不小心手抖一下一句台词就看不到了，对于我这种每句都要仔细看的属实难受= = ，可以把返回主菜单改成保存并返回主菜单，我一直以为不会保存进度直到我试了一次23333,建议,优点或启发,
第一玩这种类型的游戏！目前EA版本有9个英雄，全部通关的话能玩挺久，懵逼的通关了。懵逼的挂了。。应该还可以做的更好~~。还是存在一些问题，不过看到开发者在群里积极解答，还是比较期待的，加油吧。,无帮助,,
因为还在EA，满分10分打8分，目前普通通关还在被呵呵难度虐杀，这难度还真是人如其名。总结来说是一款烧脑但不费劲，可爱又不失深度的游戏，相信开发者可以做的更好。（里面的大蒜骑士设计的太有爱了~~~）,优点或启发,,
太上头了，一不小心就通了个宵。游戏整体可玩性还是不错的，边看剧情变消除，整体节奏控制的很好，所以很容易就忘记时间（建议大家订好闹钟）。由于还在EA，所以还是有一些小bug的，不过可以接受，才35块钱能玩这么久不香么？,优点或启发,,
我还蛮喜欢的耶 是不是太短了 哈哈哈--------------------------------------------是说我评论短的意思 哈哈哈哈,无帮助,,
这是一个非常休闲的游戏，适合你被某些硬核游戏虐的头皮发麻的时候来缓一缓。但是背景音乐略硬核。可以尝试关掉，放自己喜欢的小音乐。里面也有各种剧情各种结局让你去解锁。画风很可爱！快来玩吧！,优点或启发,缺点或问题,
千万不要买，，千千万万。。本人游戏主播 给游戏个中肯的打分，（10分满分）BGM：7分文案：7分游戏机制：5分游戏内容：2分游戏画面：1分游戏画风：7分游戏难度：这个鸟游戏根本没做游戏数据平衡。。开发游戏的臭傻逼。你们对得起这么优秀的文案和BGM?  看着头疼总体测评：游戏内容开了个好头，可就怕游戏公司和其他无良游戏商一样，卖一波信仰，然后。。。。开发下一个游戏。。（点名某某恐怖游戏，你TM阁楼 准备2090年出？）这个游戏等。。。若干年后大更一次，卖个DLC。你要觉得我说的不对，请自己玩试试就知道了！,缺点或问题,,
游戏很好玩   发售后四分钟就买到手里了   感觉非常值    按目前的内容估计还够玩65个小时左右 1. 但是有个问题  一倍速和二倍速按钮  开了之后都不能顺利的看完剧情。所以这两个按钮是不是功能重合了。如果一倍速是加速字幕出现速度，切到下一句话仍需要手点对阅读剧情比较友好。二倍速仍旧像这样跳剧情挺好。还有二人倍速只能在剧情界面 开关 但是有时候跳过看过的剧情之后  下一个事件的剧情想看 但二倍速关不了 就直接跳过了 挺影响游戏剧情体验的  建议在时间选择界面就可以选择倍速。2. 还有就是   一些剧情物品会出现在物品栏上方   一些索性就不见了  玩着玩着就忘了   建议好歹能让鼠标指针指过去的时候显示一下大概和什么事件有关  或者干脆出一个事件日志 记录近几天发生了什么 还有已经触发了几件系列事件 有时候同时触发几个事件  但正好还想触发新事件 或者升级兵种或者住店  天数很容易算错  要是只有三两个还可以记在脑袋里 可是有时候会出现四五个想要的连续事件  结果啥都没干完就走了 也不是出于贪心  还是因为想读故事 所以不得已手里的事越垒越多  小剧本都很好看  是我反复玩  找新剧本的动力   但是剧本出现了，不知道什么时候还能遇见  所以不得不去放下手头的事件去点新的事件3. 辅助物品上限这个事  前期刷出来的东西到后期可能就不好用了  但是前期有时候没啥可选的  总不能明知烂果子亏还拿烂果子吧 到后期了上限了 哪怕用新东西顶掉旧东西的位置也好  别等我有得选了却没法选了吧  有一点点的小难受 主要是心疼东西一点自己玩时候的小牢骚。套鹿加油,建议,bug,
虽然仍有不足，但确实是个用心而优秀的游戏，再加上还没有正式，所以觉得还是非常有潜力的。结果看到评价褒贬不一。某些差评真的不知道在差评个啥。所以暂时给个好评拉高一下评价。,无帮助,,
好玩！！！！！！！！！！！！！！！买了不亏,无帮助,,
游戏本身还是挺好玩的，但是确实游戏性不够深，一个角色玩个两遍就没有新意了，而主线剧情通了一边就没有通第二遍的意义了，这样一来反而违背了玩肉鸽游戏的初衷。好在游戏还在抢先体验阶段。游戏性和剧情内容还需要打磨，装备和技能还有巨大的开发空间。加油吧。,缺点或问题,,
有点单一 没有rpg的味道,缺点或问题,,
刚开始是看别人玩入的，一开始以为只是一个简单的三消，但是通关一次后就觉得，物有所值。中间的剧情都是一些很容易理解，而且有些深意的故事，很让人起探究欲。个人觉得僵尸那关太难了，虽然没有boss......后面的关卡比僵尸关简单的感觉。期待正式版---------------------------------------------------------------------------------------------------------第二次玩的时候更新了僵尸关的主线，可能是因为天胡弓箭（箭袋箭矢，满级远程）所以觉得没啥难度，也可能是我没打储备粮2的缘故。或者说僵尸关对弓箭就是送？打过远程才体会到真正的三消快感，不用拘泥列消除真是太好了xd有些剧情必须两个选项都选过才知道会这样的原因，比如海盗的藏宝图，所以还是有点难顶的。顺带，第二关是有特殊结局的嘛？灯神许愿拿到黑宝石之后可以直接去神殿，然后boss会变嘛还是怎么样？还是说要走皇帝线才行？,优点或启发,,
没法调分辨率 整个画面都是糊的 操作感人 教程也莫名其妙 说是roguelike 但是事件的有趣程度也非常不足  奖励基本是给钱 提升战力的手段也非常有限 基本是靠花钱买高级兵种或者是升级兵种 另外战斗奖励把遗物和消耗品乱糟糟的混在一起 也是人才无论是画面、剧情还是战斗 都不如11年前的英雄交锋和魔林迷踪 我为啥要在2020年在pc上玩一个这种国产手游水平的游戏？？？哦 对了制作组本来就是做手游的 也难怪了  总而言之不推荐 虽然价格比较低 但是这游戏水平实在是忒烂了 我一分钱都不想花好吧,缺点或问题,,
玩了一小会BUG一大堆招招致命，也许是没耐心，觉得剧情太磨叽1不能全屏而且窗口的界面很小，要趴在笔记本看，即便是抢先体验这种完成度35的定价确实醉人。BUG：1有钱不能花          2普通难度玩到矮人开矿好不容易过去了卡在坑道那个界面不能动了，前面全白玩了,bug,缺点或问题,
今天下午从邮箱收到的通知告诉我说上线了。果断购买下好游戏后一打开，嚯~这人物，这剧情，这玩梗。只能说一句：不愧是套鹿。从爆炒江湖开始接触套鹿，这是个不错的游戏工作室，整体的画风人物塑造都能给人一种可爱治愈的感觉，而独特的剧情也是让人在沙雕的同时有一份感悟。希望尽快把剧情出全，结束测试。套鹿加油！,优点或启发,,
哪里有消除类RPG，哪里有我。哪里有肉鸽莱克，哪里有我。,无帮助,,
确实很有趣，里面对话可以发现很多梗，消除的也只对纵列的怪有影响不是无脑消这个好评。但是EA阶段缺点也很明显，不能改分辨率，全屏糊的一批，而且音效忽大忽小。等内容丰富起来确实是个好游戏。但是一个单机游戏为什么会有腾讯的TP。,缺点或问题,,
对新人不友好，元素太多太杂。小兵占一格，打到最后心烦,缺点或问题,,
很有意思的游戏,无帮助,,
占个地方，全成就之后再回来补充,无帮助,,
兄弟们别买,无帮助,,
