comment,label_1,label_2,label_3
卡 要死 黑屏 外挂 游戏 显示 连接 连接 服务器 游戏 买 真亏,bug,缺点或问题,
开放 讨论区   bug 说   先说 bug 巫 妖 牺牲 技能 写   消耗   实际上 消耗   我试 两次   本来 想 牺牲   复活   跳   初见 确实 不错   难度   通关   东西 清零   慢慢 培养   一种 折磨 数值 平衡 确实   对面 弓箭手 瞄准 后排   控制   后排 稳定 死 建议   每次 通关 加点 反馈系统 东西   解锁 新 随从 皮肤     音效 反正 女妖 音效 听 耳朵 疼   补充 一点   tm 开 ce 作弊器   改 数值   修改 经验 上限   战赢 升 一级   天赋 点 点 完   妈 离谱,bug,缺点或问题,
bug 穿模 多如牛毛 游戏 玩到 修 通讯 塔 地方 自动 坏掉 通讯 塔 不停 坏 进一步 触发 剧情 半成品 游戏 值得 买 浪费时间 浪费 钱,bug,缺点或问题,
剧情 挺 完善 现 版本 BUG 太多 中途 冰岛 开着 摩托 下车 弹飞 海虾 号 走 卡着 不动 只能 回档 版本 推荐 玩 游玩 测试版 记住 勤 保存,bug,缺点或问题,
老子 海虾 号 穿 模掉 救 救 服,bug,缺点或问题,
牛 逼 地方 说 玩 说变 扭 地方 升级 东西 点数 完 搞清楚 击杀 背景 故事 感觉 升级 可有可无 压根 玩 游戏 背景 故事 没什么 关系 升级 内容 太 少 明明 枪 改装 动作 升级 道具 升级 近战 技能 释放 加快 体力 升级 强化 夺枪 系统 近战 斩杀 斩杀 特写 近战 攻击 反馈 鼠标 按着 V 子弹 完 单机 冲锋 射击 往前 冲着 近处 近距离 攻击 操作 流畅 子弹 太多 弄 一点 发愁 缺不缺 子弹 不用 技能 子弹 够 打死 俩 boss 显示 关卡 显示 说 第一章 完 第二章 悬挂 尸体 显示 设计 关卡 显示 导演 理解 配音 音乐 关卡 设计 地图设计 全给 放 跳 戏 结束 玩 测试版 说不定 测试版 里 说 闪避 系统 为啥 向前 闪 有时候 闪避 远 有时候 闪避 感觉 自然 怪物 墙壁 建模 E 中键 地上 插 技能 怪物 击飞 击飞 怪兽 鼎 地图 怪兽 被击 飞后 半个 身子 卡到 墙 地图 几个 地方 跳 落下去 死 理解 总 影响 游戏 体验 有个 地方 旁边 河 Q 勾连 物体 跳 地方 掉下去 死不了 受伤 旁边 有个 河 河里 走 死 感觉 尴尬 跳下去 死 死 旁边 明明 旁边 河 河里 死 跳下去 不来 只能 旁边 河 死 加载 回来 跳 跳 有时候 第一次 跳 远近 长 空格键 半空中 杠杆 前 显示 Q Q 杠杆 摔死 建议 这段 图 加点 距离 Q 按键 判定 稍微 长 一点 一次性 跳过去 死法 感觉 游戏 体验 不好 妖怪 杀死 一到 两次 跳 地图 空格 接 Q 死 几次 很烦,bug,缺点或问题,
第一章 体验 打出 bug 圣殿 里 狼 怪物 进墙 里 光刀 贴墙 砍 拖 cd 杀 莫名 空气 墙 明明 刚刚 跳上去 解密 出怪 空气 墙 让玩家 跳上去 怪物 攀爬 让玩家 跳来跳去 环绕 式 走位 杀敌 有意思,bug,缺点或问题,
好评 是因为 太爽了 一代 评分 制 7.5 DOOM64 十年 前 打通 死忠 粉 玩 小时 三次 读档 bug 目标 消失 点 触发 TAB 失效 还害 检查 键盘 输入法 人卡 教程 动 教程 打开 TAB 游戏 一大堆 解密 平台 跳跃 节奏 好烂 时间 平台 跳跃 解密 跳跃 挺 难 几下 做 题 ID 想 这是 毁灭 战士 说好 爽快 垃圾 快餐 确信 游戏 受众 马里奥 传送门 很大 交集,bug,缺点或问题,
翻译 乱码 影响 游戏 体验 自带 舰队 名 不好 想 改 打字 游戏 卡死 修复 BUG 改 好评,bug,缺点或问题,
bug 首次 登陆 挂 vpn 几天 玩 登陆 百度 说 改 设置 联网 登陆 毛病 挺 代内味 新增 玩法 不错 单机 玩家 挺 汉化 gkd,bug,缺点或问题,
游戏 线性 不管怎么 选 各项 数值 影响 剧情 操作 繁琐 东西 跳过 整体 写 剧情 说 决策 选项 投资 影响 剧情 故事 背景 稀薄 强行 狗血 煽情 角色行为 愚蠢 不合逻辑 魅力 标签 中世纪 策略 一点 关系 说 一句 喜好 对白 左 思维 怨念 剧情 显得 汉化 不全 数值 显示 BUG 钱 物资 显示 数值 决策 增减 值 有时候 希望 修复,bug,缺点或问题,
RTX 一关 画质 翻翻 游戏 语音 出戏 刚刚 沙漠 关去 灯塔 救 阿姨 习惯性 一路 潜行 背刺 敌人 清 完 阿姨 放 电梯 导致 剧情 发展 自动 存档 机制 档 刷 导致 坏档 这一 章节 重玩 小时 时间 蒸发 开车 地图 长高 bug 修复,bug,缺点或问题,
稳定性 堪忧 解决 谈论 优点 意义 更新 灯塔 卡死 BUG 洞口 巴士 山 不停 跳 爬上去 抵达 灯塔 下方 跳过 山洞 内容 触发 卡死 个人经历 保证,bug,缺点或问题,
游戏性 公平性 先放 不说 恶性 bug 一堆 没法 游戏 单人 战役 中途 退出 游戏 概率 卡 退出 界面 无限 循环 只能 管理器 杀掉 选择 快速 匹配 多人 模式 目标 房间 人满 游戏 退回 主 界面 会大 概率 卡 退出 界面 无限 循环 只能 管理器 房间 概率 卡死 链接 画面 只能 管理器 玩 英语 中文机 翻 水平 垃圾 游戏 买 买 人大 包 喂狗 新 bug 玩完 一局 单人游戏 再开 游戏 提示 游戏 重启 游戏 解决问题,bug,缺点或问题,
玩 一小 BUG 一大堆 招招 致命 也许 耐心 剧情 太 磨叽 全屏 窗口 界面 很小 趴在 笔记本 抢先 体验 完成度 定价 确实 醉人 BUG 有钱 花                     难度 玩到 矮人 开矿 好不容易 卡 坑道 界面 动 全 白玩,bug,缺点或问题,
垃圾 游戏 移植 太差 半年 内容 不全 2070 卡到 跳出,bug,缺点或问题,
策略 耐人寻味 体验 流畅 经常出现 掉 军后 不明 原因 游戏 暂停 需 退出 恢复正常 情况 出错 频率 极高,bug,缺点或问题,
第二个 御剑 剑 核 飞天 右键 无限 远程 浮空 敌人 鸟 女外 伤 两分钟 打死 堕龙 吊打 重剑 正面 肛太强 无限 破绽 砸 地上 原地 站 桩 打法 可惜 飞 bug 重剑 出招 气息 初始 人物 戴血 面具 模型 几秒 消失 失手 升级 道具 打死 开 新档,bug,缺点或问题,
挺好玩 小游戏 玩 几局 感觉 内味 买 游戏 发现 发霉 土豆 服务器 真心 伤不起 几次 进 游戏 开 一炮 炮弹 显示 两分钟 车炸 跳 回主 界面 情况 NM 离谱 第一个 教程 一局 游戏 体验 只能 差评 PS 情况 好转 会改 好评,bug,缺点或问题,
Uboat 第一款 教程 关 就让 放弃 想法 游戏 原因 接受 BUG 实在 太 导致 教程 关都 卡住 过不去 第一次 教程 关 卡 厨房 转移 食物 操作失误 科勒 水果 身上 死活 厨房 转移 一步 操作 放弃 重开 第二次 水果 转移 厨房 身上 留 水果 无所谓 没管 打捞 环节 打捞 雷达 转移 舱内 身上 五个 水果 占位 捡 雷达 想 水果 丢掉 替换 雷达 不行 卡关 放弃 重开 第三次 更是 过分 潜艇 刚刚 开出 港外 地图 模式 小心 多点 右键 设 新 目的 点 教程 退回 选 第一个 目的 点 潜艇 受 控制 蹭 岸边 乱转 走上正轨 时船 里 积水 齐腰 深 放弃 重 第四次 突破 万难 来到 沉船 边上 士官 SOMMER 穿戴 潜水衣 下水 打捞 发现 选项 说 水下 沉船 切回 第三人称 视角 发现 沉船 浮在 潜艇 上空 放弃 重 第五次 进 教程 万念俱灰 来到 沉船 处切 第三人称 视角 发现 沉船 浮 海面 打捞 沉船 选项 放弃 推出 游戏 想 我会 一阵 碰 倒霉 游戏 玩 实在 糟心 太累,bug,缺点或问题,
游戏 游戏 bug 实在 太多 太 影响 游戏 感受 bug 导致 玩 船员 充满 船舱 占用 空间 食物 请 开发 组,bug,缺点或问题,
手 难度 缺点 太 跳出 玩 要勤 存档 完 一艘 存 做 完 存 进 海域 存 真的 太太 太太 太太 跳出 教程 存档 跳出 三十 放弃 b 站 完整 教程 视频 教程 疯狂 跳出 游戏 挺 硬核 懂 潜艇 压力 跳出 过后 档 不见 玩 两天 档 啊啊啊 啊啊啊 离线 玩 游戏 时间 重置 mod 不见,bug,缺点或问题,
新年 窝 家里 扮演 艇长 不停 击沉 嘤 帝国 运输船 国家 抗击 瘟疫 做出 贡献 更爽 事情 日有 不爽 地方 奇怪 bug 鱼雷 预热 下潜 留下 水手 甲板 人员 损失 水 淹没 不知所措 伤员 抢救 这是 医疗 包 卫生员 伤员 扶 床上 躺 治 只能 死 灯光 做成 选择 灯光 点 点 两下 操作 方式 麻烦 计算 位置 提示 像是 压缩空气 氧气 士气 提示 面板 提示 更好 计算 位置 查看 提示 丢失 茫茫大海 难 改进 游戏 简介 潜艇 比作 水兵 坟墓 不太 准确 或者说 不太 中文 讲 大海 水兵 坟墓 潜艇 水兵 铁 棺材 档有 军官 划水 操纵 遂 读 好久 前 存档 重打 总算 绕开 bug 没成想 尝试 出港 几次 没到 公海 卡住 闪退 档 废 改差评 菜鸡 浮上 海面 护卫舰 对炮,bug,缺点或问题,
卡住 黑屏 习以为常 加速器 开 游戏 迅游 烟雾弹 判定 很迷 飞船 判定 医院 汉化 说 医院 传送 确实 用过 医院 水马 概率 低 那全 脚本 过分 希望 游戏 脚本 毁掉 希望 官方 严肃处理,bug,缺点或问题,
卡 要死 黑屏 外挂 游戏 显示 连接 连接 服务器 游戏 买 真亏,bug,缺点或问题,
开放 讨论区   bug 说   先说 bug 巫 妖 牺牲 技能 写   消耗   实际上 消耗   我试 两次   本来 想 牺牲   复活   跳   初见 确实 不错   难度   通关   东西 清零   慢慢 培养   一种 折磨 数值 平衡 确实   对面 弓箭手 瞄准 后排   控制   后排 稳定 死 建议   每次 通关 加点 反馈系统 东西   解锁 新 随从 皮肤     音效 反正 女妖 音效 听 耳朵 疼   补充 一点   tm 开 ce 作弊器   改 数值   修改 经验 上限   战赢 升 一级   天赋 点 点 完   妈 离谱,bug,缺点或问题,
bug 穿模 多如牛毛 游戏 玩到 修 通讯 塔 地方 自动 坏掉 通讯 塔 不停 坏 进一步 触发 剧情 半成品 游戏 值得 买 浪费时间 浪费 钱,bug,缺点或问题,
剧情 挺 完善 现 版本 BUG 太多 中途 冰岛 开着 摩托 下车 弹飞 海虾 号 走 卡着 不动 只能 回档 版本 推荐 玩 游玩 测试版 记住 勤 保存,bug,缺点或问题,
老子 海虾 号 穿 模掉 救 救 服,bug,缺点或问题,
牛 逼 地方 说 玩 说变 扭 地方 升级 东西 点数 完 搞清楚 击杀 背景 故事 感觉 升级 可有可无 压根 玩 游戏 背景 故事 没什么 关系 升级 内容 太 少 明明 枪 改装 动作 升级 道具 升级 近战 技能 释放 加快 体力 升级 强化 夺枪 系统 近战 斩杀 斩杀 特写 近战 攻击 反馈 鼠标 按着 V 子弹 完 单机 冲锋 射击 往前 冲着 近处 近距离 攻击 操作 流畅 子弹 太多 弄 一点 发愁 缺不缺 子弹 不用 技能 子弹 够 打死 俩 boss 显示 关卡 显示 说 第一章 完 第二章 悬挂 尸体 显示 设计 关卡 显示 导演 理解 配音 音乐 关卡 设计 地图设计 全给 放 跳 戏 结束 玩 测试版 说不定 测试版 里 说 闪避 系统 为啥 向前 闪 有时候 闪避 远 有时候 闪避 感觉 自然 怪物 墙壁 建模 E 中键 地上 插 技能 怪物 击飞 击飞 怪兽 鼎 地图 怪兽 被击 飞后 半个 身子 卡到 墙 地图 几个 地方 跳 落下去 死 理解 总 影响 游戏 体验 有个 地方 旁边 河 Q 勾连 物体 跳 地方 掉下去 死不了 受伤 旁边 有个 河 河里 走 死 感觉 尴尬 跳下去 死 死 旁边 明明 旁边 河 河里 死 跳下去 不来 只能 旁边 河 死 加载 回来 跳 跳 有时候 第一次 跳 远近 长 空格键 半空中 杠杆 前 显示 Q Q 杠杆 摔死 建议 这段 图 加点 距离 Q 按键 判定 稍微 长 一点 一次性 跳过去 死法 感觉 游戏 体验 不好 妖怪 杀死 一到 两次 跳 地图 空格 接 Q 死 几次 很烦,bug,缺点或问题,
第一章 体验 打出 bug 圣殿 里 狼 怪物 进墙 里 光刀 贴墙 砍 拖 cd 杀 莫名 空气 墙 明明 刚刚 跳上去 解密 出怪 空气 墙 让玩家 跳上去 怪物 攀爬 让玩家 跳来跳去 环绕 式 走位 杀敌 有意思,bug,缺点或问题,
好评 是因为 太爽了 一代 评分 制 7.5 DOOM64 十年 前 打通 死忠 粉 玩 小时 三次 读档 bug 目标 消失 点 触发 TAB 失效 还害 检查 键盘 输入法 人卡 教程 动 教程 打开 TAB 游戏 一大堆 解密 平台 跳跃 节奏 好烂 时间 平台 跳跃 解密 跳跃 挺 难 几下 做 题 ID 想 这是 毁灭 战士 说好 爽快 垃圾 快餐 确信 游戏 受众 马里奥 传送门 很大 交集,bug,缺点或问题,
翻译 乱码 影响 游戏 体验 自带 舰队 名 不好 想 改 打字 游戏 卡死 修复 BUG 改 好评,bug,缺点或问题,
bug 首次 登陆 挂 vpn 几天 玩 登陆 百度 说 改 设置 联网 登陆 毛病 挺 代内味 新增 玩法 不错 单机 玩家 挺 汉化 gkd,bug,缺点或问题,
游戏 线性 不管怎么 选 各项 数值 影响 剧情 操作 繁琐 东西 跳过 整体 写 剧情 说 决策 选项 投资 影响 剧情 故事 背景 稀薄 强行 狗血 煽情 角色行为 愚蠢 不合逻辑 魅力 标签 中世纪 策略 一点 关系 说 一句 喜好 对白 左 思维 怨念 剧情 显得 汉化 不全 数值 显示 BUG 钱 物资 显示 数值 决策 增减 值 有时候 希望 修复,bug,缺点或问题,
RTX 一关 画质 翻翻 游戏 语音 出戏 刚刚 沙漠 关去 灯塔 救 阿姨 习惯性 一路 潜行 背刺 敌人 清 完 阿姨 放 电梯 导致 剧情 发展 自动 存档 机制 档 刷 导致 坏档 这一 章节 重玩 小时 时间 蒸发 开车 地图 长高 bug 修复,bug,缺点或问题,
稳定性 堪忧 解决 谈论 优点 意义 更新 灯塔 卡死 BUG 洞口 巴士 山 不停 跳 爬上去 抵达 灯塔 下方 跳过 山洞 内容 触发 卡死 个人经历 保证,bug,缺点或问题,
游戏性 公平性 先放 不说 恶性 bug 一堆 没法 游戏 单人 战役 中途 退出 游戏 概率 卡 退出 界面 无限 循环 只能 管理器 杀掉 选择 快速 匹配 多人 模式 目标 房间 人满 游戏 退回 主 界面 会大 概率 卡 退出 界面 无限 循环 只能 管理器 房间 概率 卡死 链接 画面 只能 管理器 玩 英语 中文机 翻 水平 垃圾 游戏 买 买 人大 包 喂狗 新 bug 玩完 一局 单人游戏 再开 游戏 提示 游戏 重启 游戏 解决问题,bug,缺点或问题,
玩 一小 BUG 一大堆 招招 致命 也许 耐心 剧情 太 磨叽 全屏 窗口 界面 很小 趴在 笔记本 抢先 体验 完成度 定价 确实 醉人 BUG 有钱 花                     难度 玩到 矮人 开矿 好不容易 卡 坑道 界面 动 全 白玩,bug,缺点或问题,
垃圾 游戏 移植 太差 半年 内容 不全 2070 卡到 跳出,bug,缺点或问题,
策略 耐人寻味 体验 流畅 经常出现 掉 军后 不明 原因 游戏 暂停 需 退出 恢复正常 情况 出错 频率 极高,bug,缺点或问题,
第二个 御剑 剑 核 飞天 右键 无限 远程 浮空 敌人 鸟 女外 伤 两分钟 打死 堕龙 吊打 重剑 正面 肛太强 无限 破绽 砸 地上 原地 站 桩 打法 可惜 飞 bug 重剑 出招 气息 初始 人物 戴血 面具 模型 几秒 消失 失手 升级 道具 打死 开 新档,bug,缺点或问题,
挺好玩 小游戏 玩 几局 感觉 内味 买 游戏 发现 发霉 土豆 服务器 真心 伤不起 几次 进 游戏 开 一炮 炮弹 显示 两分钟 车炸 跳 回主 界面 情况 NM 离谱 第一个 教程 一局 游戏 体验 只能 差评 PS 情况 好转 会改 好评,bug,缺点或问题,
Uboat 第一款 教程 关 就让 放弃 想法 游戏 原因 接受 BUG 实在 太 导致 教程 关都 卡住 过不去 第一次 教程 关 卡 厨房 转移 食物 操作失误 科勒 水果 身上 死活 厨房 转移 一步 操作 放弃 重开 第二次 水果 转移 厨房 身上 留 水果 无所谓 没管 打捞 环节 打捞 雷达 转移 舱内 身上 五个 水果 占位 捡 雷达 想 水果 丢掉 替换 雷达 不行 卡关 放弃 重开 第三次 更是 过分 潜艇 刚刚 开出 港外 地图 模式 小心 多点 右键 设 新 目的 点 教程 退回 选 第一个 目的 点 潜艇 受 控制 蹭 岸边 乱转 走上正轨 时船 里 积水 齐腰 深 放弃 重 第四次 突破 万难 来到 沉船 边上 士官 SOMMER 穿戴 潜水衣 下水 打捞 发现 选项 说 水下 沉船 切回 第三人称 视角 发现 沉船 浮在 潜艇 上空 放弃 重 第五次 进 教程 万念俱灰 来到 沉船 处切 第三人称 视角 发现 沉船 浮 海面 打捞 沉船 选项 放弃 推出 游戏 想 我会 一阵 碰 倒霉 游戏 玩 实在 糟心 太累,bug,缺点或问题,
游戏 游戏 bug 实在 太多 太 影响 游戏 感受 bug 导致 玩 船员 充满 船舱 占用 空间 食物 请 开发 组,bug,缺点或问题,
手 难度 缺点 太 跳出 玩 要勤 存档 完 一艘 存 做 完 存 进 海域 存 真的 太太 太太 太太 跳出 教程 存档 跳出 三十 放弃 b 站 完整 教程 视频 教程 疯狂 跳出 游戏 挺 硬核 懂 潜艇 压力 跳出 过后 档 不见 玩 两天 档 啊啊啊 啊啊啊 离线 玩 游戏 时间 重置 mod 不见,bug,缺点或问题,
新年 窝 家里 扮演 艇长 不停 击沉 嘤 帝国 运输船 国家 抗击 瘟疫 做出 贡献 更爽 事情 日有 不爽 地方 奇怪 bug 鱼雷 预热 下潜 留下 水手 甲板 人员 损失 水 淹没 不知所措 伤员 抢救 这是 医疗 包 卫生员 伤员 扶 床上 躺 治 只能 死 灯光 做成 选择 灯光 点 点 两下 操作 方式 麻烦 计算 位置 提示 像是 压缩空气 氧气 士气 提示 面板 提示 更好 计算 位置 查看 提示 丢失 茫茫大海 难 改进 游戏 简介 潜艇 比作 水兵 坟墓 不太 准确 或者说 不太 中文 讲 大海 水兵 坟墓 潜艇 水兵 铁 棺材 档有 军官 划水 操纵 遂 读 好久 前 存档 重打 总算 绕开 bug 没成想 尝试 出港 几次 没到 公海 卡住 闪退 档 废 改差评 菜鸡 浮上 海面 护卫舰 对炮,bug,缺点或问题,
卡住 黑屏 习以为常 加速器 开 游戏 迅游 烟雾弹 判定 很迷 飞船 判定 医院 汉化 说 医院 传送 确实 用过 医院 水马 概率 低 那全 脚本 过分 希望 游戏 脚本 毁掉 希望 官方 严肃处理,bug,缺点或问题,
卡 要死 黑屏 外挂 游戏 显示 连接 连接 服务器 游戏 买 真亏,bug,缺点或问题,
开放 讨论区   bug 说   先说 bug 巫 妖 牺牲 技能 写   消耗   实际上 消耗   我试 两次   本来 想 牺牲   复活   跳   初见 确实 不错   难度   通关   东西 清零   慢慢 培养   一种 折磨 数值 平衡 确实   对面 弓箭手 瞄准 后排   控制   后排 稳定 死 建议   每次 通关 加点 反馈系统 东西   解锁 新 随从 皮肤     音效 反正 女妖 音效 听 耳朵 疼   补充 一点   tm 开 ce 作弊器   改 数值   修改 经验 上限   战赢 升 一级   天赋 点 点 完   妈 离谱,bug,缺点或问题,
bug 穿模 多如牛毛 游戏 玩到 修 通讯 塔 地方 自动 坏掉 通讯 塔 不停 坏 进一步 触发 剧情 半成品 游戏 值得 买 浪费时间 浪费 钱,bug,缺点或问题,
剧情 挺 完善 现 版本 BUG 太多 中途 冰岛 开着 摩托 下车 弹飞 海虾 号 走 卡着 不动 只能 回档 版本 推荐 玩 游玩 测试版 记住 勤 保存,bug,缺点或问题,
老子 海虾 号 穿 模掉 救 救 服,bug,缺点或问题,
牛 逼 地方 说 玩 说变 扭 地方 升级 东西 点数 完 搞清楚 击杀 背景 故事 感觉 升级 可有可无 压根 玩 游戏 背景 故事 没什么 关系 升级 内容 太 少 明明 枪 改装 动作 升级 道具 升级 近战 技能 释放 加快 体力 升级 强化 夺枪 系统 近战 斩杀 斩杀 特写 近战 攻击 反馈 鼠标 按着 V 子弹 完 单机 冲锋 射击 往前 冲着 近处 近距离 攻击 操作 流畅 子弹 太多 弄 一点 发愁 缺不缺 子弹 不用 技能 子弹 够 打死 俩 boss 显示 关卡 显示 说 第一章 完 第二章 悬挂 尸体 显示 设计 关卡 显示 导演 理解 配音 音乐 关卡 设计 地图设计 全给 放 跳 戏 结束 玩 测试版 说不定 测试版 里 说 闪避 系统 为啥 向前 闪 有时候 闪避 远 有时候 闪避 感觉 自然 怪物 墙壁 建模 E 中键 地上 插 技能 怪物 击飞 击飞 怪兽 鼎 地图 怪兽 被击 飞后 半个 身子 卡到 墙 地图 几个 地方 跳 落下去 死 理解 总 影响 游戏 体验 有个 地方 旁边 河 Q 勾连 物体 跳 地方 掉下去 死不了 受伤 旁边 有个 河 河里 走 死 感觉 尴尬 跳下去 死 死 旁边 明明 旁边 河 河里 死 跳下去 不来 只能 旁边 河 死 加载 回来 跳 跳 有时候 第一次 跳 远近 长 空格键 半空中 杠杆 前 显示 Q Q 杠杆 摔死 建议 这段 图 加点 距离 Q 按键 判定 稍微 长 一点 一次性 跳过去 死法 感觉 游戏 体验 不好 妖怪 杀死 一到 两次 跳 地图 空格 接 Q 死 几次 很烦,bug,缺点或问题,
第一章 体验 打出 bug 圣殿 里 狼 怪物 进墙 里 光刀 贴墙 砍 拖 cd 杀 莫名 空气 墙 明明 刚刚 跳上去 解密 出怪 空气 墙 让玩家 跳上去 怪物 攀爬 让玩家 跳来跳去 环绕 式 走位 杀敌 有意思,bug,缺点或问题,
好评 是因为 太爽了 一代 评分 制 7.5 DOOM64 十年 前 打通 死忠 粉 玩 小时 三次 读档 bug 目标 消失 点 触发 TAB 失效 还害 检查 键盘 输入法 人卡 教程 动 教程 打开 TAB 游戏 一大堆 解密 平台 跳跃 节奏 好烂 时间 平台 跳跃 解密 跳跃 挺 难 几下 做 题 ID 想 这是 毁灭 战士 说好 爽快 垃圾 快餐 确信 游戏 受众 马里奥 传送门 很大 交集,bug,缺点或问题,
翻译 乱码 影响 游戏 体验 自带 舰队 名 不好 想 改 打字 游戏 卡死 修复 BUG 改 好评,bug,缺点或问题,
bug 首次 登陆 挂 vpn 几天 玩 登陆 百度 说 改 设置 联网 登陆 毛病 挺 代内味 新增 玩法 不错 单机 玩家 挺 汉化 gkd,bug,缺点或问题,
游戏 线性 不管怎么 选 各项 数值 影响 剧情 操作 繁琐 东西 跳过 整体 写 剧情 说 决策 选项 投资 影响 剧情 故事 背景 稀薄 强行 狗血 煽情 角色行为 愚蠢 不合逻辑 魅力 标签 中世纪 策略 一点 关系 说 一句 喜好 对白 左 思维 怨念 剧情 显得 汉化 不全 数值 显示 BUG 钱 物资 显示 数值 决策 增减 值 有时候 希望 修复,bug,缺点或问题,
RTX 一关 画质 翻翻 游戏 语音 出戏 刚刚 沙漠 关去 灯塔 救 阿姨 习惯性 一路 潜行 背刺 敌人 清 完 阿姨 放 电梯 导致 剧情 发展 自动 存档 机制 档 刷 导致 坏档 这一 章节 重玩 小时 时间 蒸发 开车 地图 长高 bug 修复,bug,缺点或问题,
稳定性 堪忧 解决 谈论 优点 意义 更新 灯塔 卡死 BUG 洞口 巴士 山 不停 跳 爬上去 抵达 灯塔 下方 跳过 山洞 内容 触发 卡死 个人经历 保证,bug,缺点或问题,
游戏性 公平性 先放 不说 恶性 bug 一堆 没法 游戏 单人 战役 中途 退出 游戏 概率 卡 退出 界面 无限 循环 只能 管理器 杀掉 选择 快速 匹配 多人 模式 目标 房间 人满 游戏 退回 主 界面 会大 概率 卡 退出 界面 无限 循环 只能 管理器 房间 概率 卡死 链接 画面 只能 管理器 玩 英语 中文机 翻 水平 垃圾 游戏 买 买 人大 包 喂狗 新 bug 玩完 一局 单人游戏 再开 游戏 提示 游戏 重启 游戏 解决问题,bug,缺点或问题,
